system,rep,budget,use_dom,mode,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
DUAL_RUT_200000,RUT,200000,False,gated,LATE_TEST_Q4,0.0005,7.230468750000001,0.8262406598998366,0.002541026998411858,0.9992226720647773,0.904535725804087,30851,24,9421,6488,2.541026998411858,0.001628741543235621,0.0037785025335086856,0.9987075834444821,0.9953584878284067,0.9986083557871672,0.0049761778718898884,0.01111699311805188
DUAL_RUT_200000,RUT,200000,False,gated,OFFICIAL_TEST,0.001,6.261718750000001,0.8534635416666667,0.0013916283147052378,0.9980661763586253,0.9201181978339756,65546,127,91133,11254,1.3916283147052377,0.0011602658036326753,0.0016555549319752388,0.9964836849306892,0.9965694378812369,0.9968436072236715,0.0023997370151216304,0.006070567609029147
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_OOD_EXACT,0.001,6.261718750000001,0.8562694813447311,0.002161978331632901,0.9986114578132801,0.9219788688268381,64007,89,41077,10744,2.161978331632901,0.0017365948691526114,0.002659836978037529,0.9975652012422085,0.9954284245330476,0.9976870728127271,0.003789535053199242,0.009886799786231356
DUAL_RUT_200000,RUT,200000,False,gated,TEMPLATE_OOD_EXACT,0.001,6.261718750000001,0.8535068670859303,0.0013620508277504015,0.9979720371958056,0.920103367028958,60529,123,90182,10389,1.3620508277504015,0.0011321213978025975,0.001624905726182106,0.9964119689190589,0.9966613698663565,0.996738248330108,0.0023143790487791375,0.005392835391174354
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_TEMPLATE_OOD_EXACT,0.001,6.261718750000001,0.8564365739067582,0.0020772238514173997,0.9985673110957541,0.9220569009524995,59244,85,40835,9931,2.0772238514173997,0.0016595393629790089,0.0025678882955140164,0.9975673501507191,0.995715117353278,0.9976934535727443,0.0035190615835777126,0.008797653958944282
DUAL_RUT_200000,RUT,200000,False,gated,LATE_TEST_Q4,0.001,6.261718750000001,0.8846782184846943,0.004235044997353097,0.9987905542285248,0.9382775663239221,33033,40,9405,4306,4.235044997353097,0.0030272501893441467,0.005762509925235094,0.9987075834444821,0.9953584878284067,0.9986083557871672,0.0049761778718898884,0.01111699311805188
DUAL_RUT_200000,RUT,200000,False,gated,OFFICIAL_TEST,0.0025,3.5781250000000004,0.9361458333333333,0.004218715757177295,0.9946735656673261,0.9645226420536487,71896,385,90875,4904,4.2187157571772955,0.003808547488590599,0.004660870594051521,0.9964836849306892,0.9965694378812369,0.9968436072236715,0.0023997370151216304,0.006070567609029147
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_OOD_EXACT,0.0025,3.5781250000000004,0.9386228946769943,0.007238983627265219,0.9957707100381772,0.9663526430322564,70163,298,40868,4588,7.238983627265219,0.006442829551809705,0.00810577772130062,0.9975652012422085,0.9954284245330476,0.9976870728127271,0.003789535053199242,0.009886799786231356
DUAL_RUT_200000,RUT,200000,False,gated,TEMPLATE_OOD_EXACT,0.0025,3.5781250000000004,0.9386897543641952,0.004152593987043907,0.9943983867353798,0.9657413519218354,66570,375,89930,4348,4.1525939870439075,0.0037436327645067402,0.004593891498837887,0.9964119689190589,0.9966613698663565,0.996738248330108,0.0023143790487791375,0.005392835391174354
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,3.5781250000000004,0.9414528370075894,0.007038123167155425,0.9955972054484583,0.9677683002942312,65125,288,40632,4050,7.038123167155425,0.006251059560715355,0.007896303478808103,0.9975673501507191,0.995715117353278,0.9976934535727443,0.0035190615835777126,0.008797653958944282
