run,stream,allowed_tpr_loss_pp,scenario,target_fpr,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,full_tpr,full_fpr
1,URL_DAPT,2.0,LATE_TEST_Q4,0.005,0.3319938440492476,0.6680061559507524,-1.1917833900211616,-0.2646903123345685,0.9521947561530839,0.012069878242456327,0.9968038577997084,0.973988795594943,35554,114,9331,1785,12.069878242456326,0.9641125900532955,0.014716781365802012
2,URL_BASE,0.25,OFFICIAL_TEST,0.005,0.4011543496370344,0.5988456503629656,-0.12109375000000089,0.09204470742932283,0.9599739583333333,0.007582730659653736,0.9907011744470424,0.975095557407187,73726,692,90568,3074,7.582730659653737,0.9611848958333333,0.006662283585360508
2,URL_BASE,0.25,DOMAIN_OOD_EXACT,0.005,0.45310868983841884,0.5468913101615811,-0.10568420489357466,0.18218918524996341,0.9614319540875708,0.013822086187630568,0.9921448983254414,0.9765470011142213,71868,569,40597,2883,13.822086187630568,0.9624887961365065,0.012000194335130934
2,URL_BASE,0.25,TEMPLATE_OOD_EXACT,0.005,0.39661214590970273,0.6033878540902973,-0.11703657745565366,0.09191074691323846,0.9606305874390141,0.007518963512540834,0.9901315311387254,0.9751579911682401,68126,679,89626,2792,7.518963512540833,0.9618009532135706,0.006599856043408449
2,URL_BASE,0.25,DOMAIN_TEMPLATE_OOD_EXACT,0.005,0.4523184522457877,0.5476815477542123,-0.09974701843151745,0.18084066471163243,0.9623707986989519,0.013587487781036169,0.9917173161720891,0.9768236942693851,66572,556,40364,2603,13.587487781036168,0.9633682688832671,0.011779081133919844
2,URL_BASE,0.25,LATE_TEST_Q4,0.005,0.4487859097127223,0.5512140902872777,-0.12319558638421713,0.14822657490735844,0.9628806341894534,0.016199047114875596,0.9957624771506121,0.9790455442848389,35953,153,9292,1386,16.199047114875597,0.9641125900532955,0.014716781365802012
2,URL_BASE,0.5,OFFICIAL_TEST,0.005,0.32511007973342854,0.6748899202665715,-0.398437500000004,0.1161516546131931,0.9572005208333333,0.007823800131492439,0.9903808587171784,0.9735080482297866,73513,714,90546,3287,7.823800131492439,0.9611848958333333,0.006662283585360508
2,URL_BASE,0.5,DOMAIN_OOD_EXACT,0.005,0.3824891948549393,0.6175108051450606,-0.3357814611175791,0.228343778846621,0.9591309815253307,0.014283632123597144,0.9918654197332744,0.9752235862209678,71696,588,40578,3055,14.283632123597144,0.9624887961365065,0.012000194335130934
2,URL_BASE,0.5,TEMPLATE_OOD_EXACT,0.005,0.31950776254008423,0.6804922374599158,-0.403282664485749,0.11737999003377442,0.9577681265687131,0.007773655943746193,0.9897704918032787,0.9735063743792236,67923,702,89603,2995,7.773655943746193,0.9618009532135706,0.006599856043408449
2,URL_BASE,0.5,DOMAIN_TEMPLATE_OOD_EXACT,0.005,0.3803714973432036,0.6196285026567965,-0.33393567040115313,0.22971652003910062,0.9600289121792556,0.01407624633431085,0.9914011883080046,0.975462871159877,66410,576,40344,2765,14.07624633431085,0.9633682688832671,0.011779081133919844
2,URL_BASE,0.5,LATE_TEST_Q4,0.005,0.394515218878249,0.605484781121751,-0.35887409946705473,0.14822657490735844,0.960523849058625,0.016199047114875596,0.995752123938031,0.9778207941982361,35865,153,9292,1474,16.199047114875597,0.9641125900532955,0.014716781365802012
2,URL_BASE,1.0,OFFICIAL_TEST,0.005,0.32511007973342854,0.6748899202665715,-0.398437500000004,0.1161516546131931,0.9572005208333333,0.007823800131492439,0.9903808587171784,0.9735080482297866,73513,714,90546,3287,7.823800131492439,0.9611848958333333,0.006662283585360508
2,URL_BASE,1.0,DOMAIN_OOD_EXACT,0.005,0.3824891948549393,0.6175108051450606,-0.3357814611175791,0.228343778846621,0.9591309815253307,0.014283632123597144,0.9918654197332744,0.9752235862209678,71696,588,40578,3055,14.283632123597144,0.9624887961365065,0.012000194335130934
2,URL_BASE,1.0,TEMPLATE_OOD_EXACT,0.005,0.31950776254008423,0.6804922374599158,-0.403282664485749,0.11737999003377442,0.9577681265687131,0.007773655943746193,0.9897704918032787,0.9735063743792236,67923,702,89603,2995,7.773655943746193,0.9618009532135706,0.006599856043408449
