system,run,rep,method,budget,scenario,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,AUC,P_at_R90,FPR_at_TPR90
RUT_RANDOM_20K,3,RUT,RANDOM,20000,LATE_TEST_Q4,2.1913545131683354,0.7789978306864137,0.006246691371095818,0.9979757085020243,0.8749943596299918,29087,59,9386,8252,6.246691371095817,0.9971076414475755,0.9892651082847012,0.9932907725956138,0.024033880359978825
RUT_RANDOM_20K,4,RUT,RANDOM,20000,OFFICIAL_TEST,2.2979969978332524,0.7775651041666667,0.005204909051062898,0.9921085858585859,0.8718319317916374,59717,475,90785,17083,5.204909051062898,0.9895026281260774,0.990135025085721,0.9794128481963218,0.015921542844619767
RUT_RANDOM_20K,4,RUT,RANDOM,20000,DOMAIN_OOD_EXACT,2.2979969978332524,0.785527952803307,0.009741048438031386,0.9932171853856563,0.8772474994584339,58719,401,40765,16032,9.741048438031386,0.9925363954889159,0.9864943221074691,0.9836861185826219,0.02710975076519458
RUT_RANDOM_20K,4,RUT,RANDOM,20000,TEMPLATE_OOD_EXACT,2.2979969978332524,0.7791533884204292,0.005193510879796246,0.9915836698070883,0.872626201211279,55256,469,89836,15662,5.193510879796246,0.9889487599278295,0.990151991552722,0.9784314927798388,0.015580532639388738
RUT_RANDOM_20K,4,RUT,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.2979969978332524,0.7877701481749186,0.009652981427174976,0.9928036582921896,0.8784820737683776,54494,395,40525,14681,9.652981427174975,0.9921679195671829,0.9867106466344548,0.9828601190006471,0.02653958944281525
RUT_RANDOM_20K,4,RUT,RANDOM,20000,LATE_TEST_Q4,2.2979969978332524,0.7585634323361633,0.006352567496029645,0.9978861330326945,0.8619204844574959,28324,60,9385,9015,6.352567496029645,0.9970261537218782,0.9890059543588239,0.9932037113645765,0.024351508734780307
RUT_ACTIVE_B95,0,RUT,ACTIVE,2000,OFFICIAL_TEST,2.0470306873321538,0.72328125,0.004985754985754986,0.9918754352445405,0.8365473671528504,55548,455,90805,21252,4.985754985754986,0.9859180069470312,0.9869652687890368,0.9685183887915937,0.02462195923734385
RUT_ACTIVE_B95,0,RUT,ACTIVE,2000,DOMAIN_OOD_EXACT,2.0470306873321538,0.7307460769755588,0.009571005198464752,0.9928387073321459,0.8418651604004037,54624,394,40772,20127,9.571005198464752,0.9898420872371138,0.9818384882146287,0.9751927201066481,0.041587718019725016
RUT_ACTIVE_B95,0,RUT,ACTIVE,2000,TEMPLATE_OOD_EXACT,2.0470306873321538,0.7200146648241631,0.004938818448590887,0.9913411508891823,0.8341692124221978,51062,446,89859,19856,4.938818448590887,0.9849650768661242,0.986811136021878,0.96688531046915,0.024206854548474613
RUT_ACTIVE_B95,0,RUT,ACTIVE,2000,DOMAIN_TEMPLATE_OOD_EXACT,2.0470306873321538,0.7284857246114926,0.009408602150537635,0.992417976288944,0.8402124165298076,50393,385,40535,18782,9.408602150537634,0.9890939820122102,0.9816905873969889,0.9737101390344224,0.041080156402737045
