reference,margin,budget,scenario,mean_delta,delta_fpr,p_ni
XGB_200K,0.01,2000,DOMAIN_OOD_EXACT,-0.1541879038407512,-0.0029393188553661007,0.9999998764400078
R0_200K,0.01,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.18070112034694613,-0.00229960899315744,1.0
XGB_200K,0.01,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.15730827611131204,-0.0027028347996090104,0.9999997994020293
R0_200K,0.01,2000,LATE_TEST_Q4,-0.16727282466054255,-0.00320804658549499,1.0
XGB_200K,0.01,2000,LATE_TEST_Q4,-0.15264468785987828,-0.00547379565907888,0.9999995526472274
R0_200K,0.01,2000,OFFICIAL_TEST,-0.17144401041666674,-0.0012042515888670098,1.0
XGB_200K,0.01,2000,OFFICIAL_TEST,-0.16176041666666663,-0.0012305500767039197,0.9999999376161999
R0_200K,0.01,2000,TEMPLATE_OOD_EXACT,-0.17832849206125387,-0.0012258457449753797,1.0
XGB_200K,0.01,2000,TEMPLATE_OOD_EXACT,-0.16570123240926138,-0.0011317202812690299,0.9999999010043883
R0_200K,0.01,5000,DOMAIN_OOD_EXACT,-0.09693783360757718,-0.0018243210416362694,1.0
XGB_200K,0.01,5000,DOMAIN_OOD_EXACT,-0.07720164278738739,-0.002429189136666199,0.9999642628351577
R0_200K,0.01,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.1037441272135887,-0.0017937438905181406,1.0
XGB_200K,0.01,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.08035128297795469,-0.002196969696969711,0.9999531231762524
R0_200K,0.01,5000,LATE_TEST_Q4,-0.09742628351053854,-0.0021916357861302494,1.0
XGB_200K,0.01,5000,LATE_TEST_Q4,-0.0827981467098744,-0.004457384859714139,0.9999973084126702
R0_200K,0.01,5000,OFFICIAL_TEST,-0.0941393229166667,-0.0008568923953539602,1.0
XGB_200K,0.01,5000,OFFICIAL_TEST,-0.08445572916666666,-0.0008831908831908701,0.999984425541654
R0_200K,0.01,5000,TEMPLATE_OOD_EXACT,-0.10118869680476048,-0.0008692763412878595,1.0
XGB_200K,0.01,5000,TEMPLATE_OOD_EXACT,-0.0885614371527681,-0.0007751508775815097,0.999981223110478
R0_200K,0.01,10000,DOMAIN_OOD_EXACT,-0.046923786972749536,-0.002281008599329521,1.0
XGB_200K,0.01,10000,DOMAIN_OOD_EXACT,-0.027187596152559723,-0.002885876694359451,0.9998728876509302
R0_200K,0.01,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.050788579689194036,-0.00227028347996093,1.0
XGB_200K,0.01,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.02739573545355989,-0.0026735092864125006,0.9998017640849025
R0_200K,0.01,10000,LATE_TEST_Q4,-0.05253220493317976,-0.002668078348332459,1.0
XGB_200K,0.01,10000,LATE_TEST_Q4,-0.03790406813251568,-0.004933827421916349,0.9996407572544315
R0_200K,0.01,10000,OFFICIAL_TEST,-0.04382421875000007,-0.0011122068814376999,1.0
XGB_200K,0.01,10000,OFFICIAL_TEST,-0.034140624999999813,-0.0011385053692746097,0.9999937554136915
R0_200K,0.01,10000,TEMPLATE_OOD_EXACT,-0.04795679517188869,-0.0011328276396656099,1.0
XGB_200K,0.01,10000,TEMPLATE_OOD_EXACT,-0.03532953551989626,-0.00103870217595926,0.9999926354122033
R0_200K,0.01,20000,DOMAIN_OOD_EXACT,-0.007468796404061495,-0.0020818150901228613,0.2783203125
