check,actual,expected,error,passed
Putra R0 3 1000 AP,0.8989566810123046,0.8989582149747143,1.5339624096499804e-06,False
Putra R0 3 1000 AUC,0.9446714168279536,0.9446701161266154,1.300701338191601e-06,False
Putra R0 3 1000 P_at_R90,0.7658582089552238,0.7658582089552238,0.0,True
Putra R0 3 1000 FPR_at_TPR90,0.14887307236061684,0.1488730723606168,2.7755575615628914e-17,True
Putra RUT 3 1000 AP,0.926091982693976,0.9260878548985786,4.127795397379508e-06,False
Putra RUT 3 1000 AUC,0.9579580809972738,0.9579567802959356,1.300701338191601e-06,False
Putra RUT 3 1000 P_at_R90,0.801363193768257,0.801363193768257,0.0,True
Putra RUT 3 1000 FPR_at_TPR90,0.12099644128113879,0.1209964412811387,8.326672684688674e-17,True
Putra R0 3 2000 AP,0.922772375848187,0.922772375848187,0.0,True
Putra R0 3 2000 AUC,0.9578429689288463,0.9578429689288463,0.0,True
Putra R0 3 2000 P_at_R90,0.8177290836653387,0.8177290836653387,0.0,True
Putra R0 3 2000 FPR_at_TPR90,0.10854092526690391,0.1085409252669039,1.3877787807814457e-17,True
Putra RUT 3 2000 AP,0.9480726759008431,0.9480726759008432,1.1102230246251565e-16,True
Putra RUT 3 2000 AUC,0.9712902697134296,0.9712902697134296,0.0,True
Putra RUT 3 2000 P_at_R90,0.8753993610223643,0.8753993610223643,0.0,True
Putra RUT 3 2000 FPR_at_TPR90,0.0693950177935943,0.0693950177935943,0.0,True
Putra R0 4 200 AP,0.863421070118678,0.863421070118678,0.0,True
Putra R0 4 200 AUC,0.9277070196249818,0.9277070196249818,0.0,True
Putra R0 4 200 P_at_R90,0.7278368794326241,0.7278368794326241,0.0,True
Putra R0 4 200 FPR_at_TPR90,0.18208778173190984,0.1820877817319098,5.551115123125783e-17,True
Putra RUT 4 200 AP,0.8676993427720872,0.8676993427720872,0.0,True
Putra RUT 4 200 AUC,0.9318386974256521,0.931838697425652,1.1102230246251565e-16,True
Putra RUT 4 200 P_at_R90,0.7452402538531279,0.7452402538531279,0.0,True
Putra RUT 4 200 FPR_at_TPR90,0.16666666666666666,0.1666666666666666,5.551115123125783e-17,True
Putra R0 4 500 AP,0.8999721859221036,0.8999857444148919,1.3558492788279253e-05,False
Putra R0 4 500 AUC,0.9468572454267339,0.9468585461280724,1.300701338524668e-06,False
Putra R0 4 500 P_at_R90,0.7711069418386491,0.7711069418386491,0.0,True
Putra R0 4 500 FPR_at_TPR90,0.14472123368920523,0.1447212336892052,2.7755575615628914e-17,True
Putra RUT 4 500 AP,0.9126061861700567,0.9125953930702196,1.079309983709198e-05,False
Putra RUT 4 500 AUC,0.9525178976504131,0.9525139955463986,3.902104014463781e-06,False
Putra RUT 4 500 P_at_R90,0.8035190615835777,0.8035190615835777,0.0,True
Putra RUT 4 500 FPR_at_TPR90,0.11921708185053381,0.1192170818505338,1.3877787807814457e-17,True
Putra R0 4 1000 AP,0.9109678310945176,0.9109678310945176,0.0,True
Putra R0 4 1000 AUC,0.951334259432686,0.951334259432686,0.0,True
Putra R0 4 1000 P_at_R90,0.8017578125,0.8017578125,0.0,True
Putra R0 4 1000 FPR_at_TPR90,0.12040332147093713,0.1204033214709371,2.7755575615628914e-17,True
