seed,budget,rep,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90
122,200000,R0,DEV,DEV,0.01,-0.7641601562499999,0.9863,0.0092,0.9907584128578604,0.988524179403658,9863,92,9908,137,9.2,0.9990722134986276,0.9994480627000772
122,200000,R0,FINAL,OFFICIAL_TEST,0.01,-0.7641601562499999,0.9602864583333334,0.0125465702388779,0.9847119300353828,0.9723458255051254,73750,1145,90115,3050,12.546570238877932,0.9948197064319858,0.9958378339454166
122,200000,R0,FINAL,DOMAIN_OOD_EXACT,0.01,-0.7641601562499999,0.9622881299246832,0.0233687994947286,0.9868027546848848,0.9743912763723795,71932,962,40204,2819,23.36879949472866,0.9963020096291246,0.9968925717667948
122,200000,R0,FINAL,TEMPLATE_OOD_EXACT,0.01,-0.7641601562499999,0.9607151921938012,0.0123248989535463,0.9839266373023324,0.9721823876486664,68132,1113,89192,2786,12.324898953546317,0.9946920786734974,0.9956485799397976
122,200000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.01,-0.7641601562499999,0.9630068666425732,0.0228739002932551,0.9861440075793464,0.9744381139058124,66616,936,39984,2559,22.87390029325513,0.996245011879654,0.9967987707279596
122,200000,R0,FINAL,LATE_TEST_Q4,0.01,-0.7641601562499999,0.959961434425132,0.0233986236103758,0.9938721752391516,0.976622527382704,35844,221,9224,1495,23.39862361037586,0.9976356156559854,0.997213989330172
122,200000,R0,DEV,DEV,0.02,-3.2109375,0.992,0.02,0.9802371541501976,0.986083499005964,9920,200,9800,80,20.0,0.9990722134986276,0.9994480627000772
122,200000,R0,FINAL,OFFICIAL_TEST,0.02,-3.2109375,0.9745572916666668,0.0248739864124479,0.9705638259245812,0.9725564593674472,74846,2270,88990,1954,24.87398641244795,0.9948197064319858,0.9958378339454166
122,200000,R0,FINAL,DOMAIN_OOD_EXACT,0.02,-3.2109375,0.9763882757421304,0.0459845503570908,0.9747192136647124,0.9755530308093296,72986,1893,39273,1765,45.9845503570908,0.9963020096291246,0.9968925717667948
122,200000,R0,FINAL,TEMPLATE_OOD_EXACT,0.02,-3.2109375,0.975083899715164,0.0242954432201982,0.9692480201836148,0.9721572018022956,69151,2194,88111,1767,24.295443220198216,0.9946920786734974,0.9956485799397976
122,200000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.02,-3.2109375,0.9771738344777736,0.0451368523949169,0.973402646775053,0.9752845950742328,67596,1847,39073,1579,45.13685239491691,0.996245011879654,0.9967987707279596
122,200000,R0,FINAL,LATE_TEST_Q4,0.02,-3.2109375,0.9722274297651248,0.0411858125992588,0.9893979450001362,0.9807375388356072,36302,389,9056,1037,41.18581259925887,0.9976356156559854,0.997213989330172
122,20000,RT,DEV,DEV,0.0001,9.554687500000002,0.3191,0.0001,0.99968671679198,0.4837780473013947,3191,1,9999,6809,0.1,0.9938708674194774,0.9911232876712328
122,20000,RT,FINAL,OFFICIAL_TEST,0.0001,9.554687500000002,0.1791536458333333,5.478851632697787e-05,0.9996367335077012,0.3038514199902831,13759,5,91255,63041,0.0547885163269778,0.9854048225553864,0.9803006665721176
122,20000,RT,FINAL,DOMAIN_OOD_EXACT,0.0001,9.554687500000002,0.1837299835453706,0.0001214594568333,0.9996360724943592,0.3104079557012091,13734,5,41161,61017,0.121459456833309,0.9900580738210598,0.9839440821220716
