replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90,f1,fpr_ci_lo,fpr_ci_hi,AUC,FPR_at_TPR90,FPR_at_TPR95
6,262,9107,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.3828125000000004,0.697382892918582,0.005680748574276,0.9897338403041824,49457,513,89792,21461,5.680748574276064,0.9824319884942738,0.973033947653237,,,,,,
6,262,9107,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.3828125000000004,0.7084062161185399,0.0109726295210166,0.9909206721533578,49004,449,40471,20171,10.972629521016618,0.9879362470693206,0.9787765882186484,,,,,,
6,262,9107,R0,20000,FINAL,LATE_TEST_Q4,0.005,3.3828125000000004,0.7454404242213235,0.0082583377448385,0.9972055030094584,27834,78,9367,9505,8.258337744838538,0.9956688559188902,0.9929390215079178,,,,,,
6,262,9107,RT,20000,FINAL,OFFICIAL_TEST,0.005,4.011718750000001,0.6892317708333333,0.0052049090510628,0.9911062013181546,52933,475,90785,23867,5.204909051062898,0.9853001894030204,0.9793287145265724,,,,,,
6,262,9107,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,4.011718750000001,0.7006461452020709,0.0103483457221979,0.9919318181818182,52374,426,40740,22377,10.34834572219793,0.9895799879621818,0.9825245269796776,,,,,,
6,262,9107,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,4.011718750000001,0.6812797879240813,0.0051492165439344,0.9904674046740468,48315,465,89840,22603,5.149216543934444,0.984120947298842,0.9780430252512872,,,,,,
6,262,9107,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,4.011718750000001,0.692244307914709,0.0101661779081133,0.9913875201854996,47886,416,40504,21289,10.166177908113392,0.9887679164000804,0.9815705254528544,,,,,,
6,262,9107,RT,20000,FINAL,LATE_TEST_Q4,0.005,4.011718750000001,0.7388789201639037,0.0066701958708311,0.9977216837841748,27589,63,9382,9750,6.670195870831128,0.9959738459786536,0.9942906164950892,,,,,,
7,282,9108,R0,20000,FINAL,OFFICIAL_TEST,0.005,1.927734375,0.7643880208333333,0.0053364014902476,0.9917725368293012,58705,487,90773,18095,5.336401490247644,0.9847788769875372,0.9737542791936096,,,,,,
7,282,9108,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,1.927734375,0.7772069938863694,0.0101783024826312,0.992839565247112,58097,419,40747,16654,10.178302482631295,0.9901332613205605,0.9812864644107352,,,,,,
7,282,9108,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,1.927734375,0.7624862517273471,0.0052488787996234,0.9913104055144092,54074,474,89831,16844,5.248878799623498,0.9836325657083304,0.9724714736216694,,,,,,
7,282,9108,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,1.927734375,0.7748608601373328,0.009921798631476,0.9924824559779288,53601,406,40514,15574,9.921798631476053,0.9893831123298896,0.9811832193399944,,,,,,
7,282,9108,R0,20000,FINAL,LATE_TEST_Q4,0.005,1.927734375,0.7979324566806824,0.0070937003705664,0.9977562707210074,29794,67,9378,7545,7.093700370566437,0.99560944519656,0.9906555830680344,,,,,,
7,282,9108,RT,20000,FINAL,OFFICIAL_TEST,0.005,1.2509765625000002,0.8414973958333334,0.0055336401490247,0.9922465147700056,64627,505,90755,12173,5.533640149024764,0.9869929514758098,0.9809130514992832,,,,,,
7,282,9108,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,1.2509765625000002,0.8494735856376503,0.0104698051790312,0.9932582512122634,63499,431,40735,11252,10.46980517903124,0.9919871514378388,0.9872338552289835,,,,,,
7,282,9108,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,1.2509765625000002,0.8437350179080064,0.0054924976468634,0.9917788238414108,59836,496,89809,11082,5.492497646863408,0.9861049071203192,0.9816970946060262,,,,,,
7,282,9108,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,1.2509765625000002,0.8520274665702927,0.0103128054740957,0.9928909553410488,58939,422,40498,10236,10.312805474095796,0.9914300560216136,0.9879405277605876,,,,,,
7,282,9108,RT,20000,FINAL,LATE_TEST_Q4,0.005,1.2509765625000002,0.8549773695064142,0.0088935944944415,0.9973756560859786,31924,84,9361,5415,8.893594494441503,0.9963338912382504,0.9930561711432202,,,,,,
8,302,9109,R0,20000,FINAL,OFFICIAL_TEST,0.005,2.5859375000000004,0.7436458333333333,0.0058075827306596,0.990805315568509,57112,530,90730,19688,5.807582730659654,0.9856796032334167,0.9826140111452292,,,,,,
8,302,9109,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.5859375000000004,0.7555751762518227,0.0106884322013311,0.9922698524244554,56480,440,40726,18271,10.688432201331196,0.9905992658652608,0.9867409797594604,,,,,,
8,302,9109,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.5859375000000004,0.7365689951775289,0.005680748574276,0.9902746971506567,52236,513,89792,18682,5.680748574276064,0.984607074889275,0.98166943470505,,,,,,
8,302,9109,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.5859375000000004,0.7481749186844958,0.0103616813294232,0.9918741256060868,51755,424,40496,17420,10.361681329423266,0.989901560132846,0.9861878890596044,,,,,,
8,302,9109,R0,20000,FINAL,LATE_TEST_Q4,0.005,2.5859375000000004,0.7860146227804709,0.007940709370037,0.9974510603588908,29349,75,9370,7990,7.940709370037057,0.9958719748375732,0.9953214296289716,,,,,,
